junction_id,survey_date,hour,total_pcu
J05,2026-05-11,03,1271.5
J05,2026-05-11,04,1501.0
J05,2026-05-11,05,1933.0
J05,2026-05-11,06,2914.5
J05,2026-05-11,07,4517.0
J05,2026-05-12,08,5370.5
J05,2026-05-12,09,7067.5
J05,2026-05-12,10,6548.5
J05,2026-05-12,11,6217.5
J05,2026-05-12,12,6318.5
J05,2026-05-12,13,5375.5
J05,2026-05-12,14,5218.0
J05,2026-05-12,15,4910.5
J05,2026-05-12,16,5136.0
J05,2026-05-12,17,6042.5
J05,2026-05-12,18,7176.5
J05,2026-05-12,19,7123.0
J05,2026-05-12,20,5994.0
J05,2026-05-12,21,4325.0
J05,2026-05-12,22,3326.0
J05,2026-05-12,23,2921.5
J05,2026-05-12,00,1793.0
J05,2026-05-12,01,1363.5
J05,2026-05-12,02,996.5
J05,2026-05-12,03,1295.0
J05,2026-05-12,04,1525.5
J05,2026-05-12,05,2007.0
J05,2026-05-12,06,2958.0
J05,2026-05-12,07,4578.5
J06,2026-05-11,08,7102.0
J06,2026-05-11,09,8202.0
J06,2026-05-11,10,8201.0
J06,2026-05-11,11,8249.5
J06,2026-05-11,12,8480.5
J06,2026-05-11,13,7260.5
J06,2026-05-11,14,6780.0
J06,2026-05-11,15,6425.0
J06,2026-05-11,16,6467.0
J06,2026-05-11,17,7243.0
J06,2026-05-11,18,7990.0
J06,2026-05-11,19,8006.5
J06,2026-05-11,20,6650.0
J06,2026-05-11,21,5031.5
J06,2026-05-11,22,4075.0
J06,2026-05-11,23,3001.0
J06,2026-05-11,00,1910.5
J06,2026-05-11,01,1085.5
J06,2026-05-11,02,868.0
J06,2026-05-11,03,803.0
J06,2026-05-11,04,1153.5
J06,2026-05-11,05,1961.0
J06,2026-05-11,06,2976.5
J06,2026-05-11,07,4938.0
J06,2026-05-12,08,7199.5
J06,2026-05-12,09,8347.5
J06,2026-05-12,10,8365.5
J06,2026-05-12,11,8370.0
J06,2026-05-12,12,8616.0
J06,2026-05-12,13,7380.0
J06,2026-05-12,14,6921.5
J06,2026-05-12,15,6538.5
J06,2026-05-12,16,6570.0
J06,2026-05-12,17,7364.5
J06,2026-05-12,18,8127.5
J06,2026-05-12,19,8164.0
J06,2026-05-12,20,6777.0
J06,2026-05-12,21,5158.5
J06,2026-05-12,22,4133.0
J06,2026-05-12,23,3026.0
J06,2026-05-12,00,1910.0
J06,2026-05-12,01,1106.5
J06,2026-05-12,02,875.5
J06,2026-05-12,03,795.0
J06,2026-05-12,04,1162.5
J06,2026-05-12,05,2042.0
J06,2026-05-12,06,2969.5
J06,2026-05-12,07,4979.5
J07,2026-05-11,08,6302.5
J07,2026-05-11,09,8756.5
J07,2026-05-11,10,8947.5
J07,2026-05-11,11,7988.5
J07,2026-05-11,12,6832.0
J07,2026-05-11,13,5267.5
J07,2026-05-11,14,4645.0
J07,2026-05-11,15,5854.5
J07,2026-05-11,16,6863.0
J07,2026-05-11,17,6568.5
J07,2026-05-11,18,7090.5
J07,2026-05-11,19,7366.0
J07,2026-05-11,20,5076.0
J07,2026-05-11,21,2906.5
J07,2026-05-11,22,1070.0
J07,2026-05-11,23,701.0
J07,2026-05-11,00,217.5
J07,2026-05-11,01,133.0
J07,2026-05-11,02,153.5
J07,2026-05-11,03,160.5
J07,2026-05-11,04,296.5
J07,2026-05-11,05,802.5
J07,2026-05-11,06,2518.0
J07,2026-05-11,07,4684.0
